561211	Abbott & Chambers
, 607467	The Maple State
, 568442	The Mar-Keys
, 568101	The Marbles
, 562104	The Marcels
, 533679	The March Violets
, 547013	The Marketts
, 867259	The Mars Volta
, 767913	The Marshall Tucker Band
, 506507	The Martian
, 620488	The Marvelettes
, 423401	The Marx Brothers
, 666464	The Mary Onettes
, 534753	The Mary Timony Band
, 327675	The MashUp Kids
, 315376	The Masked Marauders
, 485564	The Mass
, 546728	The Master Musicians Of Jajouka
, 482201	The Master Plan
, 743125	The Matches
, 737055	The Matthew Herbert Big Band
, 515500	The Mattoid
, 217730	The Maui Men
, 760020	The Mavericks
, 417853	The Mayflies USA
, 710901	The Maytals
, 507470	The Maytones
, 556497	The McCoys
, 488683	The McGuire Sisters
, 452337	The Meads of Asphodel
, 380216	The Measure (SA)
, 514064	The Meatmen
, 624745	The Mediaeval Baebes
, 553181	The Meeting Places
, 575358	The Megaphonic Thrift
, 506407	The Meices
, 589133	The Mekons
, 610990	The Meligrove Band
, 582059	The Melismatics
, 416164	The Mello-Kings
, 301268	The Mellows
, 610129	The Melodians
, 428458	The Melons
, 509202	The Members
, 357517	The Membranes
, 512068	The Men They Couldn't Hang
, 394449	The Mentally Ill
, 620197	The Menzingers
, 619346	The Mercury Program
, 506165	The Mercury Project
, 460658	The Mercy Cage
, 384720	The Merlons of Nehemiah
, 527435	The Mermen
, 354496	The Merry Macs
, 518350	The Merry Thoughts
, 425971	The Merry-Go-Round
, 480322	The Merseybeats
, 543131	The Mess Hall
, 484296	The Metaluna Mutant
, 720908	The Meters
, 623187	The Methadones
, 449724	The Method
, 621924	The Metros
, 511379	The Mfa
, 609955	The Michael Schenker Group
, 490615	The Michael Zager Band
, 288824	The Mick Fleetwood Blues Band
, 561569	The Micragirls
, 394601	The Microscopic Septet
, 618628	The Midnight Beast
, 741721	The Midway State
, 394305	The Mighty Accordion Band
, 632744	The Mighty Boosh
, 591683	The Mighty Bop
, 830885	The Mighty Clouds Of Joy
, 596835	The Mighty Diamonds
, 452401	The Mighty Hannibal
, 437613	The Mighty Imperials
, 542469	The Mighty Lemon Drops
, 307541	The Mighty Upsetter
, 496395	The Mike Korzak Band
, 344574	The Miles Davis Nonet
, 578537	The Milkman
, 508937	The Milkshakes
, 509709	The Millboard Message
, 469319	The Milling Gowns
, 784704	The Million Dollar Quartet
, 737829	The Mills Brothers
, 523297	The Mindbenders
, 491045	The Minders
, 457256	The Minimum
, 288824	The Ministry Of Sound
, 480667	The Minor Leagues
, 398501	The Minors
, 525980	The Mint
, 600858	The Mint Chicks
, 596732	The Minus 5
, 452028	The Miracle Of 86
, 502039	The Miracle of You
, 646193	The Miracles
, 483817	The Mirage
, 853726	The Misfits
, 624137	The Mission
, 627476	The Mission District
, 509327	The Mississippi Mass Choir
, 444377	The Mist And The Morning Dew
, 480031	The Mist Of Avalon
, 396455	The Misted Muppet
, 499169	The Misunderstood
, 563613	The Mitchell Brothers
, 525708	The Mob
, 52512	The Mob Figaz Meet Marvaless
, 0	The Mobb
, 508991	The Mock Turtles
, 481894	The Mockingbirds
, 494011	The Modern
, 535862	The Modernist
, 563166	The Moffatts
, 474658	The Mohawk Lodge
, 454077	The Mojo Men
, 567413	The Mojomatics
, 447274	The Mojos
, 711931	The Moldy Peaches
, 447269	The Mole People
, 505730	The Moments
, 432744	The Monarchs
, 512800	The Monas
, 683315	The Mongoloids
, 510928	The Monitors
, 767634	The Monkees
, 477091	The Monkeywrench
, 434348	The Mono Men
, 583380	The Monochrome Set
, 460322	The Monolith
, 567293	The Monolith Deathcult
, 550582	The Monotones
, 404100	The Monroe Brothers
, 516258	The Monroes
, 538808	The Monsters
, 398212	The Montanas
, 469726	The Mood Swings
, 663133	The Moody Blues
, 496545	The Moog Cookbook
, 504041	The Moon and the Nightspirit
, 633445	The Mooney Suzuki
, 468119	The More I See
, 435868	The Morgans
, 526670	The Mormon Tabernacle Choir
, 537876	The Morning After
, 611803	The Morning After Girls
, 624650	The Morning Benders
, 709539	The Morning Light
, 703011	The Morning Of
, 418541	The Morrighan
, 47705	The Morrocco Muzik Makers
, 347458	The Morwells
, 432960	The Mossie
, 434124	The Most Genuine Expression
, 408015	The Most Powerful Telescope In the Universe
, 686176	The Most Serene Republic
, 547429	The Motels
, 413741	The Motes
, 350452	The Mother Goose Singers
, 609313	The Mother Hips
, 582046	The Mother Truckers
, 188668	The Motorcity All Stars feat. Levi Stubbs
, 491370	The Motors
, 448089	The Mount Fuji Doomjazz Corporation
, 760437	The Mountain Goats
, 598233	The Move
, 617688	The Movielife
, 495221	The Moving Sidewalks
, 587307	The Mr. T Experience
, 547084	The Muckrakers
, 499877	The Muckruckers
, 457463	The Muffins
, 589242	The Muffs
, 393580	The Mullets
, 502996	The Mungolian Jet Set
, 0	The Munros_David Methven
, 347637	The Munted Connection
, 616690	The Muppets
, 405987	The Murderers
, 442651	The Murmaids
, 581866	The Murmurs
, 541942	The Muses Rapt
, 551058	The Music Machine
, 350481	The Musical Tribute to the Sims
, 432136	The Mustangs
, 499630	The Mutton Birds
, 400914	The Mystery Trend
, 324422	The Mystic Moods Orchestra
, 591474	The Mystic Underground
, 479735	The Mystics
, 596403	The Naked Brothers Band
, 299418	The Naked Housewives
, 380934	The Nam Shub of Enki
, 523601	The Names
, 472168	The Nancy Atlas Project
, 467910	The Nashville Teens
, 732261	The Nat King Cole Trio
, 584285	The National Bank
, 359559	The National Splits
, 249824	The Neal Pollack Invasion
, 439468	The Neat
, 401839	The Neckbones
, 350775	The Nectarine No. 9
, 381482	The Nelons
, 392060	The Nels Cline Singers
, 403064	The Neon Boys
, 640770	The Neon Judgement
, 448280	The Neptunas
, 557522	The Nerve Agents
, 552454	The Nerves
, 657085	The Network
, 545388	The Never
, 641420	The Neville Brothers
, 503444	The New Birth
, 531864	The New Cars
, 445232	The New Christy Minstrels
, 649865	The New Cities
, 397563	The New Colony Six
, 570770	The New Deal
, 69125	The New Establishment In Soul
, 593994	The New Frontiers
, 463747	The New Glenn Miller Orchestra
, 702371	The New London Orchestra
, 504113	The New Lost City Ramblers
, 560963	The New Lows
, 617683	The New Mastersounds
, 368596	The New Orleans Ragtime Orchestra
, 773070	The New Pornographers
, 756892	The New Raemon
, 502499	The New Relics
, 550669	The New Seekers
, 395037	The New Tradition
, 717671	The New York Dolls
, 477602	The Newbeats
, 542693	The Next Best Thing
, 614850	The Nextmen / Alice Russell
, 61186	The Nguyên Lê Trio
, 595546	The Nice
, 547493	The Nice Boys
, 599652	The Night Marchers
, 508463	The Nightclub
, 462644	The Nightjars
, 341937	The Nightraver & The Magican
, 489474	The Nightshift
, 159605	The Nightwatchman
, 379079	The Nightwriters
, 527794	The Nihilists
, 645695	The Nijinsky Style
, 470104	The Nimmo Brothers
, 672900	The Nines
, 408620	The Nite-Liters
, 513263	The Nixons
, 356355	The No W.T.O. Combo
, 566400	The Nob Hill Boys
, 387904	The Noise Next Door
, 529362	The Nolan Sisters
, 566439	The Nomads
, 423325	The Nommos
, 538765	The Normal
, 330235	The Norman Luboff Choir
, 487426	The North Pole Band
, 500599	The North Sea
, 721234	The Northern Pikes
, 431403	The Notations
, 668509	The Notorious B.I.G.
, 409830	The Notorious Cherry Bombs
, 492702	The Notting Hillbillies
, 710298	The Notwist
, 344743	The Now Time Delegation
, 497829	The Nucleus
, 699920	The Number Twelve Looks Like You
, 608712	The Numbers
, 492645	The Nylons
, 665473	The O'Jays
, 530474	The O-Men
, 500700	The O.A.O.T's
, 571741	The O.C. Supertones
, 440553	The Observer All Stars
, 471046	The Observers
, 682314	The Obsessed
, 425457	The Occasional Keepers
, 636419	The Ocean
, 588867	The Ocean Blue
, 441249	The Odd Couple
, 519054	The Odds
, 858677	The Offspring
, 631968	The Oh Sees
, 566444	The Ohio Players
, 483858	The Oi! Scouts
, 596702	The Old Dead Tree
, 526221	The Old Haunts
, 219776	The Old Joe Clarks
, 522015	The Old Romantic Killer Band
, 499709	The Old Scratch Revival Singers
, 506114	The Old Soul
, 576223	The One Am Radio
, 410252	The One Ensemble Of Daniel Padden
, 498343	The One Up Downstairs
, 560375	The Ones
, 575509	The Only Ones
, 588464	The Oohlas
, 494198	The Open
, 482649	The Operation
, 559868	The Opposites
, 625390	The Oppressed
, 523516	The Orange Alabaster Mushroom
, 546929	The Orange Peels
, 678625	The Orb
, 0	The Orb v Meat Beat Manifesto
, 739469	The Orchestra
, 563992	The Orchid
, 834539	The Orchids
, 796998	The Ordinary Boys
, 686151	The Organ
, 739469	The Original Broadway Cast
, 410278	The Original Brothers and Sisters of Love
, 381472	The Original Carter Family
, 626208	The Original Five Blind Boys Of Alabama
, 273334	The Original Five Blind Boys Of Mississippi
, 258060	The Original London Cast
, 836039	The Original Mark Edwards
, 465057	The Original Sins
, 227641	The Original Television Cast
, 543273	The Orioles
, 453122	The Orlons
, 502154	The Orphans
, 464104	The Oscar Peterson Trio
, 484652	The Oscillation
, 378790	The Oscillators
, 498167	The Osmonds
, 618130	The Other
, 548339	The Other Half
, 479712	The Other People Place
, 331039	The Otis Rush Blues Band
, 551879	The Out Crowd
, 417152	The Out-Islanders
, 432071	The Out_Circuit
, 683392	The Outfield
, 584020	The Outhere Brothers
, 352672	The Outlaw Blues Band
, 667671	The Outlaws
, 539906	The Outrunners
, 509523	The Outside Agency
, 433661	The Ovationz
, 540499	The Oxygen Junkies
, 585143	The Ozark Mountain Daredevils
, 332663	The PRAIRIE RAMBLERS
, 351279	The Pacific Ocean
, 514597	The Pacifics
, 499949	The Packway Handle Band
, 329658	The Paco De Lucia Sextet
, 635878	The Paddingtons
, 436199	The Pain Machinery
, 704574	The Pains Of Being Pure At Heart
, 524645	The Pale Fountains
, 558305	The Pan I Am
, 474953	The Panacea
, 539281	The Pandoras
, 627396	The Panic Division
, 633820	The Panics
, 342784	The Panoply Academy
, 583628	The Paper Chase
, 488874	The Paper Faces
, 558383	The Paper Lions
, 591231	The Paradigm
, 364892	The Paradons
, 603387	The Paragons
, 427460	The Parallax Corporation
, 390357	The Paramounts
, 563627	The Parasites
, 606363	The Parlor Mob
, 559106	The Parson Red Heads
, 486877	The Parsonage
, 563777	The Partisans
, 745843	The Partridge Family
, 423131	The Party Boyz
, 530996	The Party Heroes
, 629095	The Party Knights
, 499436	The Pasadenas
, 319273	The Pastel Six
, 624145	The Pastels
, 555904	The Paul Butterfield Blues Band
, 431174	The Paynes
, 305638	The Payoff
, 448613	The Payolas
, 430084	The Pazant Brothers
, 461239	The Peaking Goddess Collective
, 428262	The Peanut Butter Conspiracy
, 509793	The Pearlfishers
, 477395	The Pebbles
, 494336	The Peelers
, 432211	The Peeping Toms
, 550767	The Peepshows
, 528099	The Penelopes
, 457138	The Penetrators
, 574917	The Penguins
, 545232	The Pepper Pots
, 404402	The Performers
, 731640	The Perishers
, 534823	The Pernice Brothers
, 530184	The Perpetrators
, 714015	The Perrys
, 462661	The Peter Brötzmann Octet
, 240792	The Peter Brötzmann Sextet / Quartet
, 569031	The Peter Malick Group / Norah Jones
, 22938	The Peärls Before Swïne Experience
, 609678	The Phantom
, 500067	The Phantom Limbs
, 523133	The Phantom's Revenge
, 471352	The Pharao's
, 777703	The Pharcyde
, 636904	The Phenomenal Handclap Band
, 489853	The Phonemes
, 427287	The Photos
, 491949	The Physics of Meaning
, 728584	The Pierces
, 618381	The Pietasters
, 588662	The Pig
, 750146	The Pigeon Detectives
, 373176	The Pilgrim Travelers
, 379891	The Piltdown Men
, 488285	The Pine
, 602135	The Pineapple Thief
, 522681	The Pines
, 611082	The Pink Fairies
, 478582	The Pink Noise
, 489730	The Pink Snowflakes
, 634747	The Pinker Tones
, 512401	The Pinkerton Thugs
, 732789	The Pipettes
, 0	The Pirates
, 445230	The Pistolas
, 423448	The Pit That Became A Tower
, 556464	The Plan
, 620278	The Planet Smashers
, 574958	The Planets
, 557875	The Plasmatics
, 88084	The Plastic Cloud
, 589291	The Plastic Constellations
, 464052	The Plastic Noise Experience
, 651557	The Plastic Ono Band
, 725563	The Platters
, 573243	The Plimsouls
, 594024	The Plot to Blow Up the Eiffel Tower
, 473479	The Plus Ones
, 483114	The Poets
, 682499	The Poets Of Rhythm
, 777702	The Pogues
, 0	The Pogues LM
, 693887	The Pointer Sisters
, 496636	The Poise Rite
, 847972	The Police
, 249498	The Polka Band
, 699309	The Polyphonic Spree
, 381702	The Poni-Tails
, 630811	The Ponys
, 599756	The Poodles
, 496635	The Pooh Sticks
, 379248	The Pool
, 503975	The Poozies
, 569734	The Pop Group
, 439052	The Pop Hit Crew
, 285489	The Pop Moon Group
, 492892	The Pop Rivets
, 507190	The Pope
, 510668	The Popes
, 440296	The Poppees
, 468695	The Popsters
, 647972	The Posies
, 643347	The Postmarks
, 657114	The Potbelleez
, 326976	The Powder Monkeys
, 755566	The Power Station
, 570154	The Prairie Cartel
, 431974	The Prayer Chain
, 0	The Prayer Movement
, 404877	The Prefects
, 489608	The Premiers
, 448839	The Presence
, 724864	The Presets
, 698548	The Presidents of the United States of America
, 409447	The Press Gang
, 581093	The Pretty Reckless
, 630456	The Pretty Things
, 418757	The Pribata Idaho
, 492921	The Primary 5
, 496277	The Prime Movers
, 348788	The Primeridian
, 594537	The Primitives
, 513815	The Priscillas
, 538329	The Procession
, 719322	The Proclaimers
, 627813	The Procussions
, 575664	The Producers
, 373738	The Production Club
, 440662	The Products
, 479857	The Profit$
, 623543	The Promise Ring
, 529821	The Prostitutes
, 507884	The Protector
, 569918	The Protectors
, 487094	The Provenance
, 343498	The Pss Pss
, 830252	The Psychedelic Furs
, 557363	The Psycho Realm_ Sick Jacken
, 241591	The Psychotik Tanks
, 441620	The Punk Group
, 687550	The Puppini Sisters
, 674661	The Pure
, 435053	The Purple Hearts
, 526502	The Purrs
, 420605	The Pussy Gourmets
, 848007	The Pussycat Dolls
, 359764	The Q Tips
, 503538	The Q4
, 393432	The Quads
, 513484	The Quails
, 680941	The Quakes
, 611652	The Quantic Soul Orchestra
, 531525	The Quarter After
, 438735	The Quartertones
, 604477	The Que featuring MC E. Royal
, 680618	The Queers
, 523105	The Quest
, 631709	The Quireboys
, 598315	The RH Factor / Renee Neufville / Karl Denson
, 578704	The Race
, 494264	The Racing Cars
, 839022	The Raconteurs
, 402526	The Radiants
, 517190	The Radiators
, 448615	The Radiators (From Space)
, 739455	The Radio Dept.
, 440367	The Railway Children
, 591149	The Rain
, 496692	The Rain Parade
, 296425	The Rainbow Band
, 630914	The Rainbow Orchestra
, 419842	The Rainbows
, 643277	The Raincoats
, 501065	The Raindrops
, 454603	The Rainmakers
, 780982	The Rakes
, 333437	The Raleigh Ringers
, 424631	The Rambos
, 726833	The Ramones
, 510510	The Ramsey Lewis Trio
, 488009	The Rance Allen Group
, 276375	The Rapiers
, 562533	The Rapsody / Onyx
, 749861	The Rapture
, 686721	The Rascals
, 543888	The Raspberries
, 424469	The Rationals
, 511730	The Rats
, 420926	The Rattlers
, 491781	The Rattles
, 428285	The Raunch Hands
, 127651	The Raunch Hands Bigg Topp
, 757187	The Raveonettes
, 473418	The Re-Mains
, 468831	The Reach
, 579411	The Reaction
, 609662	The Real Booty Babes
, 466531	The Real Estate Agents
, 484893	The Real Kids
, 0	The Real McCoy
, 664369	The Real McKenzies
, 403132	The Real Roxanne
, 577648	The Real Thing
, 635273	The Real Tuesday Weld
, 618487	The Reason
, 575527	The Reasoning
, 447335	The Rebel Wheel
, 577978	The Rebirth
, 800186	The Receiving End Of Sirens
, 802157	The Red Chord
, 346400	The Red Clay Ramblers with Fiddlin' Al McCanless
, 564079	The Red Crayola
, 561297	The Red Death
, 446028	The Red Hot Valentines
, 911044	The Red Jumpsuit Apparatus
, 585092	The Red Paintings
, 456600	The Red Telephone
, 486967	The Red Thread
, 300304	The Redlands Palomino Company
, 580082	The Redneck Manifesto
, 631469	The Redwalls
, 319684	The Reegs
, 484972	The Reflecting Skin
, 565452	The Refreshments
, 537894	The Regents
, 372175	The Reggae Boys
, 468000	The Regime
, 542992	The Regiment
, 681901	The Reign Of Kindo
, 440963	The Reivers
, 233788	The Rel Yea's
, 433155	The Relativez
, 583392	The Remains
, 616924	The Rembrandts
, 447010	The Remote
, 678181	The Rentals
, 744806	The Replacements
, 447222	The Reporters
, 657385	The Republic Tigers
, 693788	The Residents
, 400266	The Resistoleros
, 695343	The Resound Singers Featuring The Worship Band
, 586659	The Restarts
, 577459	The Retrosic
, 477837	The Returners
, 487646	The Reunion
, 466431	The Revelators
, 541866	The Revels
, 427399	The Reverend Peyton's Big Damn Band
, 311380	The Revolution Of St. Vincent
, 677973	The Revolutionaries
, 351037	The Revolutionary Ensemble
, 390580	The Revolutionary Hydra
, 501321	The Rewinds
, 581412	The Rezillos
, 393755	The Rhythm Masters
, 375742	The Rhythm Rockers
, 308192	The Rhythmic State
, 512904	The Rich Kids
, 34748	The Richie Furay Band
, 448502	The Richmond Sluts
, 507139	The Riffs
, 721166	The Rifles
, 558117	The Right Ons
, 361165	The Righteous Flames
, 421327	The Rimshots
, 495957	The Rip Chords
, 614075	The Rippingtons
, 614075	The Rippingtons / Russ Freeman
, 544657	The Riptides
, 518042	The Rising
, 427312	The Rising Sons
, 446134	The Ritchie Family
, 482132	The Rivieras
, 473234	The Rivingtons
, 661408	The Road Hammers
, 521372	The Roadside Graves
, 361582	The Roaring Lion
, 648425	The Robert Cray Band
, 628790	The Robocop Kraus
, 577243	The Robot Ate Me
, 445177	The Robustos
, 573612	The Roches
, 530110	The Rock
, 332467	The Rock 'n' Rollers
, 75125	The Rock Masters
, 828369	The Rocket Summer
, 392321	The Rockingbirds
, 434155	The Rockwells
, 264256	The Rocky Athas Group
, 528734	The Rodeo
, 553941	The Rogers Sisters
, 775326	The Rogue Element
, 875048	The Rolling Stones
, 639189	The Romantics
, 661506	The Ronettes
, 447009	The Rongetz Foundation
, 519775	The Rooftop Singers
, 862795	The Roots
, 451540	The Roots of Orchis
, 469357	The Ropers
, 458673	The Rose Garden
, 527309	The Rosie Taylor Project
, 301553	The Rossington Band
, 466088	The Roulettes
, 364843	The Routers
, 599665	The Royal Clasical Orchestra
, 405386	The Royal Family And The Poor
, 611898	The Royal Philharmonic Orchestra
, 433520	The Royal Teens
, 540666	The Royal We
, 594336	The Rubettes
, 563705	The Rubinoos
, 460766	The Ruby Doe
, 639860	The Ruby Suns
, 425539	The Rudiments
, 517157	The Rugbys
, 480159	The Ruins Of Beverast
, 493450	The Rulers
, 542132	The Rum Diary
, 474455	The Rumble
, 665253	The Rumble Strips
, 595403	The Run
, 630816	The Runaways
, 592848	The Runners
, 640186	The Rural Alberta Advantage
, 576185	The Rurals
, 200730	The Russell Family
, 590016	The Rutles
, 584505	The Ruts
, 633119	The Sabres Of Paradise
, 68370	The Saddest Girl Story
, 559793	The Saddest Landscape
, 450358	The Sagittarian
, 411898	The Sahara All Stars Of Jos
, 338671	The Sahotas
, 430223	The Sails
, 399926	The Saint Alvia Cartel
, 721326	The Sainte Catherines
, 596763	The Saints
, 803684	The Salsoul Orchestra
, 497195	The Salteens
, 360101	The Sam Brothers
, 558389	The Sammies
, 604529	The Samples
, 617332	The Samuel Jackson Five
, 396199	The San Francisco TKOs
, 487388	The Sandals
, 408647	The Sapphires
, 384564	The Satintones
, 571773	The Saw Doctors
, 437201	The Scaffold
, 475529	The Scaramanga Six
, 582062	The Scare
, 465866	The Scarlet Fever
, 436644	The Scattered Pages
, 547503	The Scene
, 421926	The Scenics
, 573682	The School
, 351500	The Schoolboys
, 609976	The Scientist
, 524861	The Scientists
, 416960	The Scissor Girls
, 473579	The Scottish Enlightenment
, 31825	The Scottish Stepdance Company
, 513957	The Scourge Of The Sea
, 550165	The Screamin' Cheetah Wheelies
, 392001	The Screetch
, 820013	The Script
, 388471	The Sculptor
, 488518	The Sea Urchins
, 563014	The Seahorses
, 635417	The Searchers
, 401555	The Second Sight
, 859923	The Secret Handshake
, 326804	The Secret Life of Teenage Girls
, 502741	The Sedan Vault
, 581876	The Seed
, 609720	The Seeds
, 569838	The Seekers
, 514995	The Seldom Scene
, 607154	The Selecter
, 410598	The Semi Colon
, 569860	The Sensational Alex Harvey Band
, 369310	The Sensational Nightingales
, 475589	The Sentinals
, 620614	The Sequence
, 402913	The Serendipity Singers
, 487649	The Service Industry
, 499097	The Session
, 445181	The Shadow Ring
, 557067	The Shadows Of Knight
, 485014	The Shaggs
, 531221	The Shake
, 515863	The Shakin' Apostles
, 571618	The Shaky Hands
, 327675	The Shamrock Singers
, 475456	The Shanes
, 640807	The Shangri-Las
, 533265	The Shape
, 584216	The Shapeshifters
, 405819	The Shapeshifters & Chic
, 533008	The Sharks
, 485830	The Sharpshooters
, 495640	The Sheer
, 527123	The Sheila Divine
, 350570	The Sheppards
, 523200	The Shermans
, 467630	The Shields
, 411675	The Shining Path
, 790206	The Shins
, 0	The Ship
, 662299	The Shirelles
, 44596	The Shirrows
, 485265	The Shizit
, 468314	The Shop Assistants
, 581982	The Shore
, 611079	The Shortwave Set
, 573899	The Show is the Rainbow
, 687983	The Showdown
, 543986	The Sick and Indigent Song Club
, 125769	The Sierra Leone Refugee All Stars
, 577653	The Sight Below
, 521124	The Silencers
, 540451	The Silent Majority
, 389610	The Silly Pillows
, 540546	The Silos
, 589598	The Similou
, 453483	The Simpletons
, 473781	The Singers Unlimited
, 488292	The Sir Douglas Band
, 489513	The Siren Six!
, 389949	The Sirius
, 332194	The Sisterhood of Convoluted Thinkers
, 437746	The Skabs
, 751897	The Skatalites
, 539666	The Skatoons
, 508040	The Skeleton Key
, 477731	The Skillet-Lickers
, 44006	The Skinnies
, 379099	The Sklar Bros.
, 460239	The Skunks
, 613218	The Skygreen Leopards
, 509818	The Skyliners
, 685315	The Slackers
, 371490	The Slammers Maximum Jive Band
, 515266	The Slants
, 445268	The Slapped Eyeballers
, 625390	The Sleeper
, 517697	The Sleeping Years
, 509483	The Sleepover Disaster
, 639372	The Sleepy Jackson
, 609681	The Slickers
, 458857	The SlimP
, 739957	The Slits
, 246087	The Slovak National Symphony Orchestra
, 703348	The Small Faces
, 442082	The Small Knives
, 887920	The Smashing Pumpkins
, 478526	The Smile Rays
, 628899	The Smithereens
, 815842	The Smiths
, 507989	The Smittens
, 620986	The Smoking Popes
, 475056	The Smooths
, 425932	The Snake Corps
, 442291	The Sneetches
, 605950	The So So Glos
, 288178	The Societie
, 564174	The Soft Boys
, 752551	The Soft Pack
, 517983	The Soft Pink Truth
, 589831	The Softies
, 611063	The Soggy Bottom Boys / Dan Tyminski
, 444879	The Solid Doctor
, 452877	The Solid Steel Players
, 424978	The Solsonics
, 533517	The Somatics
, 420760	The Somebodys Feat. Rachael Bell
, 365377	The Somethings
, 653341	The Sonics
, 497446	The Sons Of Champlin
, 48043	The Sons Of Fred
, 279300	The Sons Of Selassie
, 348910	The Sons Of The West
, 557541	The Sons Of the Pioneers
, 319211	The Sons of the Pioneers_ Roy Rogers
, 575991	The Soul
, 387940	The Soul Academy
, 576285	The Soul Children
, 430040	The Soul Lifters
, 390873	The Soul Rhythms
, 502474	The Soul Snatchers
, 731466	The Soul Stirrers
, 366154	The Soulful Strings
, 590343	The Souljazz Orchestra
, 588585	The Sound
, 746429	The Sound Of Animals Fighting
, 508619	The Sound Stylistics
, 631412	The Sound of Arrows
, 405685	The Soundbyte / Irgens
, 0	The Soundtrack Of Our Lives (OEOC)
, 702606	The Soundtrack Of Our Lives (TSOOL)
, 702606	The Soundtrack of Our Lives
, 549337	The Soup Dragons
, 375462	The Souther-Hillman-Furay Band
, 714887	The Soviettes
, 560869	The Space Brothers
, 413348	The Space Cadets
, 273148	The Spacewürm
, 508785	The Spades
, 556554	The Spark
, 489231	The Special AKA
, 474960	The Special Goodness
, 764027	The Specials
, 334413	The Specials and Fun Boy Three
, 464587	The Spectacular Fantastic
, 716087	The Spectres
, 504017	The Speed Freak
, 505692	The Spektrum
, 649439	The Spencer Davis Group
, 779180	The Spill Canvas
, 433177	The Spinanes
, 242761	The Spirits Of Rhythm
, 621032	The Spits
, 570928	The Spongetones
, 573211	The Spook
, 536575	The Spookshow
, 560324	The Spoons
, 477192	The Sports
, 563911	The Spotnicks
, 447505	The Square Root of Evil
, 689290	The Squeeze
, 465533	The Stains
, 699723	The Stan Getz Quintet
, 571676	The Standells
, 611016	The Stanley Brothers
, 629570	The Staple Singers
, 411529	The Stapler
, 370939	The Stardusters
, 346723	The Starlite Orchestra
, 496277	The Starseeds
, 641903	The Starshine Orchestra
, 856317	The Starting Line
, 634491	The Statler Brothers
, 496979	The Steamy Dumplings
, 529825	The Steeles
, 493776	The Steep Canyon Rangers
, 546150	The Steepwater Band
, 570934	The Steinways
, 514170	The Stems
, 398538	The Step Kings
, 487872	The Sterns
, 362617	The Steroid Kiddies
, 353126	The Stickmen
, 536730	The Sticks
, 463480	The Stiffs
, 616829	The Stiletto Formal
, 726167	The Stills
, 354425	The Stingers ATX
, 566934	The Stitches
, 493324	The Stockyard Stoics
, 501125	The Stolen Minks
, 689772	The Stone Poneys Featuring Linda Ronstadt
, 725522	The Stone Roses
, 425355	The Stoner
, 732603	The Stooges
, 520995	The Story
, 634918	The Story So Far
, 430875	The Stovall Sisters
, 502823	The Strange Fruit Project
, 511852	The Strangeloves
, 719313	The Stranglers
, 788749	The Streets
, 414178	The Streetwalkin' Cheetahs
, 584112	The Strike
, 636006	The Strike Boys
, 796934	The String Cheese Incident
, 274613	The String Trio of New York
, 315444	The Strings Of Paris
, 807043	The Strokes
, 462774	The Strollers
, 393773	The Studio Sound Ensemble
, 634477	The Style Council
, 632446	The Stylistics
, 597085	The Subdudes
, 594196	The Subhumans
, 646587	The Subs
, 603192	The Subtle Way
, 484860	The Suburban Knight
, 759791	The Subways
, 421733	The Suffragettes
, 662510	The Sugarcubes
, 440550	The Sugargliders
, 618692	The Sugarhill Gang
, 535857	The Sugarman 3 / Lee Fields
, 668675	The Suicide Machines
, 634496	The Summer Obsession
, 739828	The Summer Set
, 468397	The Summer Wardrobe
, 647498	The Sun
, 419941	The Sun Harbor's Chorus-Documentary Recordings
, 495016	The Sunburst Band
, 606208	The Sunday Drivers
, 690207	The Sundays
, 423367	The Sundogs
, 493563	The Sundowners
, 515886	The Sundresses
, 526451	The Sunny Cowgirls
, 354745	The Sunshine Boys
, 457464	The Sunshine Fix
, 691725	The Sunshine Underground
, 424171	The Super Friendz
, 468299	The Super Phonics
, 352579	The Super Stocks
, 572824	The Supermen Lovers
, 536030	The Supernaturals
, 610754	The Supersuckers
, 684147	The Supervillains
, 681189	The Supremes
, 681189	The Supremes / Four Tops
, 479128	The Surf Rats
, 409406	The Surf Trio
, 590994	The Surfaris
, 0	The Survival Crew
, 489499	The Sushi Club
, 378257	The Sutherland Brothers
, 243144	The Sutherland Brothers;Quiver
, 397068	The Swamp Coolers
, 574704	The Swan Silvertones
, 674065	The Sweet Inspirations
, 351729	The Sweet Talks
, 558792	The Sweet Vandals
, 399364	The Sweetest Ache
, 776971	The Swell Season
, 693481	The Swellers
, 537422	The Swing Kids
, 406635	The Swinging Cats
, 579029	The Swingle Singers
, 795015	The Sword
, 498036	The Sylvers
, 585151	The Syn
, 429455	The Synthesizer
, 571405	The Tag Team
, 516029	The Takeovers
, 426452	The Tall Grass
, 733955	The Tallest Man On Earth
, 558532	The Tamlins
, 451482	The Tamperer feat. Maya
, 509918	The Tams
, 506802	The Tangent
, 576053	The Tannahill Weavers
, 371318	The Tantra Monsters
, 326700	The Tarriers
, 409780	The Tattle Tales
, 603905	The Tea Party
, 509469	The Tear Garden
, 608720	The Teardrop Explodes
, 573309	The Tears
, 500202	The Techniques
, 278724	The Technocinism Of Phunk Investigation
, 567269	The Teddy Bears
, 632354	The Teddybears
, 754667	The Teenagers
, 377706	The Teenqueens
, 441906	The Telepathic Butterflies
